User_ID,Timestamp,App_Name,Screen_Taps,Notifications_Clicked,Day_of_Week,Hour_of_Day,Total_Sessions_Today,Previous_App_Used,Duration_mins
U119,2025-01-11 12:19:59.968515,Telegram,164,0,Saturday,12,1,None,3.83
U094,2025-02-12 13:42:59.968603,Twitter,57,0,Wednesday,13,1,None,1.13
U052,2025-01-19 08:59:59.968629,YouTube,79,0,Sunday,8,1,None,3.46
U117,2025-01-31 12:37:59.968644,Twitter,32,4,Friday,12,1,None,1.33
U160,2025-01-15 16:20:59.968658,Telegram,133,2,Wednesday,16,1,None,6.87
U120,2025-02-10 22:30:59.968673,Telegram,284,0,Monday,22,1,None,2.26
U188,2025-02-24 21:34:59.968694,YouTube,163,4,Monday,21,1,None,17.78
U094,2025-03-02 09:00:59.968719,Twitter,273,2,Sunday,9,2,Twitter,9.82
U013,2025-02-06 19:41:59.968738,Spotify,264,4,Thursday,19,1,None,25.09
U180,2025-01-06 11:10:59.968752,TikTok,174,4,Monday,11,1,None,6.72
U089,2025-02-06 06:11:59.968765,Facebook,226,3,Thursday,6,1,None,24.75
U173,2025-03-06 05:44:59.968778,Spotify,202,0,Thursday,5,1,None,39.76
U112,2025-01-21 21:22:59.968789,YouTube,54,3,Tuesday,21,1,None,4.32
U174,2025-01-28 07:11:59.968801,YouTube,62,1,Tuesday,7,1,None,2.43
U143,2025-01-28 14:46:59.968813,YouTube,178,4,Tuesday,14,1,None,7.26
U007,2025-02-28 14:34:59.968825,TikTok,156,2,Friday,14,1,None,5.65
U048,2025-01-10 20:17:59.968837,WhatsApp,136,4,Friday,20,1,None,18.34
U192,2025-01-25 06:45:59.968849,TikTok,138,3,Saturday,6,1,None,3.78
U164,2025-03-06 10:24:59.968861,Twitter,101,3,Thursday,10,1,None,8.53
U076,2025-01-10 03:21:59.968873,Spotify,252,4,Friday,3,1,None,3.81
U120,2025-01-08 13:16:59.968885,Facebook,129,4,Wednesday,13,2,Telegram,3.36
U163,2025-03-02 05:41:59.968896,Facebook,285,2,Sunday,5,1,None,7.03
U002,2025-01-26 01:14:59.968908,YouTube,30,4,Sunday,1,1,None,5.03
U174,2025-02-22 12:15:59.968919,Facebook,165,0,Saturday,12,2,YouTube,1.3
U060,2025-02-21 08:30:59.968931,Telegram,89,1,Friday,8,1,None,0.12
U019,2025-02-24 11:52:59.968944,Twitter,95,2,Monday,11,1,None,12.53
U084,2025-01-11 06:14:59.968957,Twitter,98,1,Saturday,6,1,None,6.17
U155,2025-02-15 09:53:59.968969,WhatsApp,112,4,Saturday,9,1,None,1.23
U097,2025-02-19 15:20:59.968980,Spotify,222,5,Wednesday,15,1,None,0.39
U106,2025-02-22 13:38:59.968992,Telegram,152,2,Saturday,13,1,None,17.03
U181,2025-01-25 03:18:59.969003,Twitter,287,5,Saturday,3,1,None,26.94
U053,2025-01-17 13:30:59.969015,TikTok,220,4,Friday,13,1,None,2.06
U179,2025-02-26 12:46:59.969026,Facebook,169,5,Wednesday,12,1,None,9.21
U012,2025-02-03 00:09:59.969038,Instagram,217,0,Monday,0,1,None,37.25
U008,2025-01-18 04:51:59.969049,TikTok,214,5,Saturday,4,1,None,6.79
U070,2025-01-13 08:50:59.969061,Telegram,199,4,Monday,8,1,None,7.29
U010,2025-01-26 16:57:59.969073,TikTok,107,4,Sunday,16,1,None,5.94
U011,2025-02-05 18:02:59.969084,Instagram,273,5,Wednesday,18,1,None,10.01
U162,2025-02-09 02:34:59.969096,Twitter,86,1,Sunday,2,1,None,0.72
U136,2025-01-13 16:55:59.969108,Twitter,296,4,Monday,16,1,None,10.41
U190,2025-01-31 15:32:59.969121,YouTube,124,3,Friday,15,1,None,2.36
U037,2025-02-13 19:34:59.969133,Instagram,103,5,Thursday,19,1,None,6.91
U062,2025-01-06 00:01:59.969144,TikTok,176,2,Monday,0,1,None,19.58
U125,2025-03-04 07:36:59.969156,Facebook,234,3,Tuesday,7,1,None,18.84
