Screen_Taps,Notifications_Clicked,Hour_of_Day,Total_Sessions_Today,hour,day_of_week,is_weekend,Rolling_Avg_Duration,User_Avg_Duration,User_Total_Duration,User_Session_Count,App_Popularity_Rank,Duration_Per_Session,User_ID_Encoded,App_Name_Encoded,Day_of_Week_Encoded,Previous_App_Used_Encoded,Log_Duration
164,0,12,1,12,5,1,3.83,8.43,126.45,15,1.0,1.915,118,3,2,2,1.5748464676644813
57,0,13,1,13,2,0,1.13,5.105,91.89,18,7.0,0.565,93,5,6,2,0.7561219797213337
79,0,8,1,8,6,1,3.46,10.408333333333333,124.9,12,5.0,1.73,51,7,3,2,1.4951487660319727
32,4,12,1,12,4,0,1.33,9.616363636363637,105.78,11,7.0,0.665,116,5,0,2,0.8458682675776092
133,2,16,1,16,2,0,6.87,7.7139999999999995,115.71,15,1.0,3.435,159,3,6,2,2.063058062429312
284,0,22,1,22,0,0,2.26,11.438571428571427,160.14,14,1.0,1.13,119,3,1,2,1.1817271953786161
163,4,21,1,21,0,0,17.78,8.762857142857143,122.68,14,5.0,8.89,187,7,1,2,2.932792473780117
273,2,9,2,9,6,1,5.475,5.105,91.89,18,7.0,3.2733333333333334,93,5,3,6,2.3813962734183356
264,4,19,1,19,3,0,25.09,10.08357142857143,141.17000000000002,14,4.0,12.545,12,2,4,2,3.261552099148637
174,4,11,1,11,0,0,6.72,7.436,74.36,10,1.0,3.36,179,4,1,2,2.0438143640366846
226,3,6,1,6,3,0,24.75,12.397777777777778,111.58,9,2.0,12.375,88,0,4,2,3.248434627109745
202,0,5,1,5,3,0,39.76,9.026666666666666,81.24,9,4.0,19.88,172,2,4,2,3.707701208354524
54,3,21,1,21,1,0,4.32,6.9510000000000005,69.51,10,5.0,2.16,111,7,5,2,1.671473303353553
62,1,7,1,7,1,0,2.43,5.795714285714285,40.57,7,5.0,1.215,173,7,5,2,1.2325602611778486
178,4,14,1,14,1,0,7.26,10.581764705882353,179.89000000000001,17,5.0,3.63,142,7,5,2,2.1114245875328868
